pitch,roll,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,distance,time,jerk_x,jerk_y,jerk_z,is_running_backoff
1.0,0.0,-205.853,-136.4375,9507.538,-1.105989,-0.8655553,-0.9747141,422.0,2024-01-12 16:26:55.293409,-8962.804285925902,-5554.96897476834,-6992.955544217129,False
-3.0,1.0,507.4517,234.5767,9055.141,-0.1959892,0.5344448,-0.834714,383.0,2024-01-12 16:26:55.473434,3962.2535758922377,2060.903763366199,-2512.967643382868,False
-2.0,3.0,409.3124,531.3881,10074.83,-1.175989,0.9544448,-1.114714,342.0,2024-01-12 16:26:55.652463,-548.1754352646777,1657.8956481910755,5695.663830999449,False
0.0,5.0,-148.4057,861.7104,9301.686,0.9940108,0.3244447,-2.024714,299.0,2024-01-12 16:26:55.832498,-3097.8315327575197,1834.767128613881,-4294.409420390481,False
0.0,1.0,-129.2566,287.2368,9722.966,2.184011,-1.285555,1.685286,256.0,2024-01-12 16:26:56.083039,76.43100330883968,-2292.9324940828046,1681.4812745219372,False
0.0,3.0,-23.9364,605.5909,9622.433,0.9940108,1.794445,-1.884714,212.0,2024-01-12 16:26:56.310640,462.74049762523015,1398.7377032614093,-441.70719812302866,False
0.0,-4.0,88.56468,-675.0065,9438.123,-1.105989,-1.215555,-2.164714,180.0,2024-01-12 16:26:56.432730,921.4602342534196,-10488.962240969777,-1509.624047833576,False
-4.0,2.0,593.6227,325.535,7887.044,-0.4759892,1.444445,4.905286,147.0,2024-01-12 16:26:56.612755,2805.488237744758,5557.791973337037,-8615.908901541452,False
-1.0,0.0,330.3223,-9.57456,9900.095,-0.6859893,-2.475555,2.525286,106.0,2024-01-12 16:26:56.793284,-1458.493649219793,-1856.2644228905053,11150.845570517753,False
-2.0,1.0,371.0142,280.0559,10608.61,0.6440108,2.144445,2.665286,49.0,2024-01-12 16:26:57.032321,170.23264180859044,1211.6553504269216,2964.039039981263,True
6.0,-9.0,-1170.49,-1756.932,10266.32,-6.075989,-27.95555,15.68529,40.0,2024-01-12 16:26:57.213341,-8515.656833499062,-11252.83338857585,-1890.8960335874538,True
-10.0,12.0,1251.874,1462.514,6558.574,3.584011,-27.74556,58.52529,40.0,2024-01-12 16:26:57.332861,20267.436412315932,26936.4625167336,-31021.97121820616,True
-10.0,12.0,1251.874,1462.514,6558.574,3.584011,-27.74556,58.52529,40.0,2024-01-12 16:26:57.332861,20267.436412315932,26936.4625167336,-31021.97121820616,True
-18.0,-1.0,5316.274,-409.3124,15623.29,7.714011,-21.44555,9.175285,40.0,2024-01-12 16:26:57.513498,22500.373677596508,-10362.364299672825,50181.94500572973,True
2.0,3.0,-416.4934,634.3146,9409.399,-2.225989,10.12444,4.345286,49.0,2024-01-12 16:26:57.692529,-32021.087968005544,5829.308890639051,-34708.46389731388,True
2.0,3.0,-416.4934,634.3146,9409.399,-2.225989,10.12444,4.345286,49.0,2024-01-12 16:26:57.692529,-32021.087968005544,5829.308890639051,-34708.46389731388,True
-10.0,13.0,2127.946,2654.547,11175.91,6.874011,-26.41556,146.0953,76.0,2024-01-12 16:26:57.872558,14133.497380977507,11221.705391909081,9812.36911830872,True
-10.0,13.0,2127.946,2654.547,11175.91,6.874011,-26.41556,146.0953,76.0,2024-01-12 16:26:57.872558,14133.497380977507,11221.705391909081,9812.36911830872,True
-7.0,8.0,1338.045,1500.812,10194.51,2.884011,-0.4455553,163.2453,110.0,2024-01-12 16:26:58.113585,-3277.230351786314,-4786.745883241298,-4071.742999746915,True
-7.0,8.0,1338.045,1500.812,10194.51,2.884011,-0.4455553,163.2453,110.0,2024-01-12 16:26:58.113585,-3277.230351786314,-4786.745883241298,-4071.742999746915,False
8.0,0.0,-1352.407,33.51096,9244.238,0.9240108,10.75445,133.0753,2000.0,2024-01-12 16:26:58.353185,-11228.931552587646,-6123.960934891485,-3966.076794657766,False
-4.0,0.0,770.7521,-7.18092,9208.333,-0.5459892,1.864445,3.295286,2000.0,2024-01-12 16:26:58.533214,11793.428280999173,-226.02958412255802,-199.4400902076823,False
1.0,3.0,-299.205,639.1019,11104.1,0.8540108,1.794445,2.945286,2000.0,2024-01-12 16:26:58.723416,-5625.372498711896,3397.8760475704776,9967.124425610666,False
-6.0,5.0,1105.862,888.0405,9995.841,0.4340108,0.6044447,9.875285,2000.0,2024-01-12 16:26:58.893522,8259.949678435798,1463.4322128555132,-6515.108226635157,False
2.0,1.0,-387.7697,246.5449,10117.92,1.974011,2.634445,6.515286,2000.0,2024-01-12 16:26:59.132333,-6254.451009375615,-2686.206246780927,511.195045454354,False
-1.0,1.0,193.8848,198.6721,9643.976,-0.3359892,1.514445,3.995286,2000.0,2024-01-12 16:26:59.312872,3221.766488127219,-265.1659752186509,-2625.161322484336,False
-5.0,0.0,828.1995,-26.33004,9344.771,-0.4059892,0.1144447,0.9852859,2000.0,2024-01-12 16:26:59.493089,3519.7273287203757,-1248.5067446467315,-1660.2484782234746,False
-4.0,0.0,832.9868,-14.36184,9629.614,-1.175989,3.264445,4.485286,2000.0,2024-01-12 16:26:59.673119,26.591679164584086,66.47892017997,1582.1974115425148,False
-1.0,5.0,174.7357,768.3585,8758.329,0.1540108,-1.355555,9.665286,2000.0,2024-01-12 16:26:59.861189,-3500.0324347317487,4161.856436433243,-4632.769713404583,False
1.0,0.0,-402.1315,-162.7675,11762.35,-1.735989,4.944445,-0.554714,2000.0,2024-01-12 16:27:00.032711,-3363.2257086554496,-5428.609741024476,17513.91075197351,False
1.0,-1.0,-311.1732,-184.3103,10450.63,-2.785989,1.164445,-1.534714,2000.0,2024-01-12 16:27:00.271776,380.47518457323326,-90.11273084725912,-5486.875954238392,False
-6.0,3.0,1235.118,701.3365,10311.8,-1.035989,0.6044447,-10.35471,2000.0,2024-01-12 16:27:00.393286,12725.629166323757,7288.674183194798,-1142.5397086659527,False
1.0,-1.0,-287.2368,-320.7478,10529.62,1.344011,3.194445,3.505286,2000.0,2024-01-12 16:27:00.572495,-8494.856843127298,-5703.308985597821,1215.4523489333767,False
-3.0,-2.0,591.2291,-363.8333,9220.302,-0.6159892,0.1144447,-5.454714,2000.0,2024-01-12 16:27:00.753699,4847.93878722324,-237.77344870974164,-7225.657270258941,False
5.0,-1.0,-1041.233,-320.7478,10046.11,1.624011,1.094445,-3.144714,2000.0,2024-01-12 16:27:00.933231,-9092.875364837466,239.9878573179156,4599.781654523989,False
-2.0,7.0,394.9506,1249.48,9483.602,2.324011,1.094445,5.465286,2000.0,2024-01-12 16:27:01.173310,5982.129215799799,6540.462930951896,-2343.012091853098,False
1.0,0.0,-284.8432,23.9364,9414.187,0.6440108,0.8144447,1.895286,2000.0,2024-01-12 16:27:01.352956,-3784.0742348841613,-6821.992140097747,-386.3988065417592,False
2.0,0.0,-416.4934,47.8728,10101.16,1.834011,-0.8655553,-7.694714,2000.0,2024-01-12 16:27:01.546070,-681.7227130088962,123.94958418343568,3557.344366539971,False
-4.0,4.0,734.8475,753.9966,9052.747,1.204011,-0.1655553,-2.584714,2000.0,2024-01-12 16:27:01.713206,6888.6469701321075,4224.845634692705,-6272.813756461806,False
